date,TCB_code,TCB_high,TCB_low,TCB_open,TCB_close,TCB_adjust,TCB_volume_match,TCB_value_match
2023-03-07,TCB,27.5,27.05,27.2,27.1,13.14,2340300.0,63928000000.0
2023-03-06,TCB,27.45,26.7,27.0,27.2,13.19,2568900.0,69826000000.0
2023-03-03,TCB,27.35,26.55,27.2,26.8,13.0,1875800.0,50248000000.0
2023-03-02,TCB,27.6,27.0,27.55,27.2,13.19,1549900.0,42218000000.0
2023-03-01,TCB,27.35,26.05,26.2,27.3,13.24,2204200.0,59042000000.0
2023-02-28,TCB,27.2,26.5,27.0,26.5,12.85,2104000.0,56483000000.0
2023-02-27,TCB,27.2,26.6,27.2,27.0,13.09,2377000.0,63803000000.0
2023-02-24,TCB,27.95,27.15,27.95,27.25,13.21,1972500.0,53956000000.0
2023-02-23,TCB,27.95,27.0,27.5,27.95,13.55,3597400.0,98077000000.0
2023-02-22,TCB,28.15,27.5,28.05,27.5,13.33,2373000.0,66111000000.0
2023-02-21,TCB,28.95,28.35,28.6,28.4,13.77,2590900.0,73987000000.0
2023-02-20,TCB,28.6,27.7,27.75,28.6,13.87,2743200.0,77281000000.0
2023-02-17,TCB,27.8,27.5,27.75,27.8,13.48,1784300.0,49367000000.0
2023-02-16,TCB,27.9,27.2,27.6,27.9,13.53,2247700.0,62069000000.0
2023-02-15,TCB,27.6,26.6,26.85,27.4,13.29,2633000.0,71901000000.0
2023-02-14,TCB,27.4,26.5,26.5,26.85,13.02,2949800.0,79223000000.0
2023-02-13,TCB,26.9,26.35,26.85,26.6,12.9,2897200.0,77025000000.0
2023-02-10,TCB,27.5,26.9,27.35,26.95,13.07,2626000.0,71283000000.0
2023-02-09,TCB,27.85,27.3,27.7,27.3,13.24,2757300.0,76216000000.0
2023-02-08,TCB,27.95,27.4,27.5,27.85,13.5,2709000.0,74866000000.0
2023-02-07,TCB,28.05,27.4,27.95,27.4,13.29,3288400.0,91231000000.0
2023-02-06,TCB,28.0,27.05,27.1,27.95,13.55,3183300.0,87765000000.0
2023-02-03,TCB,28.2,27.1,28.1,27.1,13.14,6448000.0,177114000000.0
2023-02-02,TCB,28.4,27.6,28.2,28.0,13.58,3795200.0,106555000000.0
2023-02-01,TCB,29.5,28.0,29.5,28.2,13.67,5944500.0,171545000000.0
2023-01-31,TCB,29.4,28.05,28.65,29.4,14.26,6148400.0,174766000000.0
2023-01-30,TCB,29.05,28.55,29.05,28.7,13.92,5917000.0,170229000000.0
2023-01-27,TCB,29.7,29.0,29.35,29.05,14.09,5539200.0,163115000000.0
2023-01-19,TCB,29.3,28.85,28.85,29.1,14.11,4742400.0,137728000000.0
2023-01-18,TCB,29.15,28.9,29.1,29.1,14.11,3241200.0,94107000000.0
2023-01-17,TCB,29.3,28.35,28.4,29.0,14.06,6179200.0,178674000000.0
2023-01-16,TCB,28.1,27.65,27.85,28.1,13.63,2492900.0,69535000000.0
2023-01-13,TCB,28.3,27.8,27.9,27.8,13.48,2810200.0,78698000000.0
2023-01-12,TCB,27.95,27.6,27.65,27.85,13.5,2124100.0,58883000000.0
2023-01-11,TCB,28.0,27.3,27.45,27.65,13.41,3136500.0,87093000000.0
2023-01-10,TCB,28.0,27.3,27.75,27.45,13.31,2613300.0,72192000000.0
2023-01-09,TCB,27.95,27.6,27.8,27.75,13.46,2387700.0,66329000000.0
2023-01-06,TCB,28.4,27.3,27.45,27.7,13.43,4803900.0,134156000000.0
2023-01-05,TCB,27.8,27.15,27.3,27.65,13.41,2716900.0,74603000000.0
2023-01-04,TCB,27.8,27.25,27.45,27.3,13.24,3185500.0,87601000000.0
2023-01-03,TCB,27.45,25.75,25.75,27.45,13.31,3786800.0,101672000000.0
2022-12-30,TCB,26.1,25.85,25.95,25.85,12.53,2181900.0,56606000000.0
2022-12-29,TCB,26.3,25.75,26.1,25.95,12.58,2934700.0,76384000000.0
2022-12-28,TCB,26.45,25.75,26.1,26.15,12.68,3298700.0,86045000000.0
2022-12-27,TCB,26.3,25.4,25.6,26.3,12.75,4426300.0,114426000000.0
2022-12-26,TCB,27.4,25.7,27.25,25.7,12.46,7542600.0,197469000000.0
2022-12-23,TCB,27.9,26.95,27.7,27.6,13.38,2878800.0,78641000000.0
2022-12-22,TCB,28.4,27.25,27.75,27.7,13.43,3604900.0,100054000000.0
2022-12-21,TCB,28.2,26.3,28.05,27.7,13.43,6560300.0,178959000000.0
2022-12-20,TCB,29.25,27.25,29.0,27.7,13.43,11750600.0,328557000000.0
2022-12-19,TCB,30.65,29.05,29.15,29.25,14.18,9319200.0,279002000000.0
2022-12-16,TCB,29.3,28.6,29.0,29.15,14.13,6469000.0,187960000000.0
2022-12-15,TCB,29.55,28.6,28.8,29.5,14.3,7681000.0,225153000000.0
2022-12-14,TCB,29.7,28.8,29.5,28.8,13.97,7999600.0,234283000000.0
2022-12-13,TCB,28.8,27.0,27.2,28.8,13.97,7316900.0,201508000000.0
2022-12-12,TCB,28.55,27.2,28.25,27.2,13.19,6189600.0,173387000000.0
2022-12-09,TCB,28.5,27.7,28.45,28.25,13.7,4407800.0,124005000000.0
2022-12-08,TCB,28.2,26.5,26.8,28.2,13.67,10144300.0,283464000000.0
2022-12-07,TCB,27.15,25.95,27.0,26.4,12.8,7114400.0,188663000000.0
2022-12-06,TCB,29.0,27.0,28.8,27.05,13.12,14489700.0,402052000000.0
2022-12-05,TCB,29.8,28.8,29.5,29.0,14.06,8445100.0,246593000000.0
2022-12-02,TCB,29.0,26.85,27.0,28.8,13.97,9001200.0,250617000000.0
2022-12-01,TCB,27.7,26.25,26.25,27.4,13.29,16532500.0,450678000000.0
2022-11-30,TCB,25.9,24.95,25.2,25.9,12.56,8860700.0,224427000000.0
2022-11-29,TCB,25.6,24.35,24.95,25.2,12.22,7876400.0,196949000000.0
2022-11-28,TCB,24.6,23.25,23.3,24.6,11.93,9058600.0,218131000000.0
2022-11-25,TCB,23.0,22.2,22.35,23.0,11.15,5208100.0,117508000000.0
2022-11-24,TCB,22.2,21.5,22.0,22.15,10.74,3471500.0,75833000000.0
2022-11-23,TCB,22.4,21.7,22.0,22.0,10.67,3771800.0,83274000000.0
2022-11-22,TCB,23.05,21.85,22.05,21.85,10.6,7548800.0,169118000000.0
2022-11-21,TCB,23.1,22.25,22.65,22.25,10.79,4508400.0,102009000000.0
2022-11-18,TCB,23.35,21.8,22.85,22.7,11.01,6390000.0,144227000000.0
2022-11-17,TCB,23.05,22.2,22.7,22.95,11.13,5977300.0,135889000000.0
2022-11-16,TCB,22.1,19.3,19.3,22.1,10.72,18062800.0,364606000000.0
2022-11-15,TCB,22.05,20.65,22.05,20.7,10.04,10943000.0,227731000000.0
2022-11-14,TCB,22.4,21.3,22.2,22.2,10.76,5828500.0,127295000000.0
2022-11-11,TCB,23.95,22.8,23.5,22.8,11.06,5479500.0,128656000000.0
2022-11-10,TCB,24.1,22.65,24.0,22.75,11.03,7580100.0,174046000000.0
2022-11-09,TCB,25.1,24.2,24.5,24.35,11.81,3645200.0,90080000000.0
2022-11-08,TCB,24.9,23.0,23.75,24.15,11.71,5353800.0,129886000000.0
2022-11-07,TCB,25.8,23.75,25.45,23.75,11.52,6326200.0,154300000000.0
2022-11-04,TCB,25.5,24.05,25.0,25.5,12.36,12626400.0,313481000000.0
2022-11-03,TCB,25.85,24.65,24.65,25.85,12.53,6663000.0,168787000000.0
2022-11-02,TCB,25.8,25.05,25.7,25.2,12.22,5442300.0,138064000000.0
2022-11-01,TCB,26.0,25.0,25.0,25.65,12.44,8603400.0,220122000000.0
