date,VPB_code,VPB_high,VPB_low,VPB_open,VPB_close,VPB_adjust,VPB_volume_match,VPB_value_match
2019-12-12,VPB,19.7,19.25,19.25,19.65,6.41,1210790.0,23650000000.0
2019-12-11,VPB,19.3,19.0,19.1,19.25,6.28,1078520.0,20644000000.0
2019-12-10,VPB,19.4,19.0,19.4,19.05,6.22,588880.0,11302000000.0
2019-12-09,VPB,19.7,19.2,19.45,19.4,6.33,681230.0,13206000000.0
2019-12-06,VPB,19.65,19.3,19.35,19.6,6.4,724890.0,14176000000.0
2019-12-05,VPB,19.75,19.35,19.6,19.6,6.4,659120.0,12895000000.0
2019-12-04,VPB,19.75,18.75,18.75,19.75,6.45,1792870.0,34522000000.0
2019-12-03,VPB,19.45,18.7,19.25,18.7,6.1,1407780.0,26866000000.0
2019-12-02,VPB,20.15,19.5,20.0,19.5,6.36,1081350.0,21326000000.0
2019-11-29,VPB,20.15,19.9,19.95,20.15,6.58,746320.0,14963000000.0
